,Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost,FY Total Cost  (Sub Projects)
3748,MRI and machine learning to improve early prognosis and clinical management after spinal cord injury,NICHD,9674165,1R03HD094577-01A1,1,R03,HD,94577,1,A1,,12176044,"SMITH, ANDREW CRAIG",Not Applicable,REGIS UNIVERSITY,,2019,96034,
3749,PHYSIOLOGICAL CORRELATES OF STUTTERING,NIDCD,2443589,5R01DC000559-09,5,R01,DC,559,9,,,1883758,"SMITH, ANNE ",Not Applicable,PURDUE UNIVERSITY WEST LAFAYETTE,,1997,189757,
3750,TASK STRATEGIES; AGING AND SKILL ACQUISITION,NIA,6637830,5R01AG018177-05,5,R01,AG,18177,5,,,1947179,"ROGERS, WENDY A",Not Applicable,GEORGIA INSTITUTE OF TECHNOLOGY,,2003,PHYSIOLOGICAL CORRELATES OF STUTTERING,NIDCD
3751,PHYSIOLOGICAL CORRELATES OF STUTTERING,NIDCD,2125801,2R01DC000559-06A1,2,R01,DC,559,6,A1,,1883758,"SMITH, ANNE ",Not Applicable,PURDUE UNIVERSITY WEST LAFAYETTE,,1994,231943,
3752,BIONET; NATIONAL COMPUTER RESOURCE FOR MOLECULAR BIOLOGY,NCRR,3560651,5U41RR001685-03,5,U41,RR,1685,3,,,1983192,"SMITH, DENNIS P",Not Applicable,"INTELLIGENETICS, INC.",,1986,63647,
3753,TASK STRATEGIES; AGING AND SKILL ACQUISITION,NIA,6533870,5R01AG018177-04,5,R01,AG,18177,4,,,1947179,"ROGERS, WENDY A",Not Applicable,GEORGIA INSTITUTE OF TECHNOLOGY,,2002,83776,COMPUTER SYSTEM FOR THE AUTOMATED ANALYSIS OF SLEEP
3754,COMPUTER SYSTEM FOR THE AUTOMATED ANALYSIS OF SLEEP,NIMH,3508966,2R44MH041679-02A1,2,R44,MH,41679,2,A1,,1871982,"SMITH, JACK R.",Not Applicable,MICROTRONICS,,1988,206001,
3755,A COMPLETE SYSTEM FOR AUTOMATED ANALYSIS OF SLEEP DATA,NINDS,3400148,5R01NS019996-05,5,R01,NS,19996,5,,,1871982,"SMITH, JACK R.",Not Applicable,UNIVERSITY OF FLORIDA,,1989,78890,
3756,TASK STRATEGIES; AGING AND SKILL ACQUISITION,NIA,6169086,5R01AG018177-02,5,R01,AG,18177,2,,,1947179,"ROGERS, WENDY A",Not Applicable,GEORGIA INSTITUTE OF TECHNOLOGY,,2000,79081,A COMPLETE SYSTEM FOR AUTOMATED ANALYSIS OF SLEEP DATA
3757,A COMPLETE SYSTEM FOR AUTOMATED ANALYSIS OF SLEEP DATA,NINDS,3400145,2R01NS019996-03A1,2,R01,NS,19996,3,A1,,1871982,"SMITH, JACK R.",Not Applicable,UNIVERSITY OF FLORIDA,,1987,TASK STRATEGIES; AGING AND SKILL ACQUISITION,NIA
3758,A COMPLETE SYSTEM FOR THE AUTOMATED ANALYSIS OF SLEEP DA,NINDS,3400146,5R01NS019996-02,5,R01,NS,19996,2,,,1871982,"SMITH, JACK R.",Not Applicable,UNIVERSITY OF FLORIDA,,1986,93559,
3759,A COMPLETE SYSTEM FOR THE AUTOMATED ANALYSIS OF SLEEP DA,NINDS,3400143,1R01NS019996-01A2,1,R01,NS,19996,1,A2,,1871982,"SMITH, JACK R.",Not Applicable,UNIVERSITY OF FLORIDA,,1985,92380,
3760,Molecular Biology and Genetics Core,NIDDK,8377120,5P30DK041296-24,5,P30,DK,41296,24,,7453,1894198,"ROGLER, CHARLES E.",Not Applicable,ALBERT EINSTEIN COLLEGE OF MEDICINE,,2012,COGNITIVE TOOLS-PROBLEM SOLVING IN TRANSFUSION MEDICINE,NHLBI
3761,286404,,,,,,,,,,,,,,,,,,
3762,,"147259""INVESTIGATION OF PROBLEM-SOLVING & MAN-MACHINE SYSTEMS""",NHLBI,3355129,5R01HL038776-05,5,R01,HL,38776,5,,,6188958,"SMITH, JACK W.",Not Applicable,OHIO STATE UNIVERSITY,,1991,447796
3763,INVESTIGATION OF PROBLEM-SOLVING & MAN-MACHINE SYSTEMS,NHLBI,3355128,5R01HL038776-04,5,R01,HL,38776,4,,,6188958,"SMITH, JACK W.",Not Applicable,OHIO STATE UNIVERSITY,,1990,417773,
3764,INVESTIGATION OF PROBLEM-SOLVING & MAN-MACHINE SYSTEMS,NHLBI,3355127,5R01HL038776-03,5,R01,HL,38776,3,,,6188958,"SMITH, JACK W.",Not Applicable,OHIO STATE UNIVERSITY,,1989,344403,
3765,INVESTIGATION OF PROBLEM-SOLVING & MAN-MACHINE SYSTEMS,NHLBI,3355126,5R01HL038776-02,5,R01,HL,38776,2,,,6188958,"SMITH, JACK W.",Not Applicable,OHIO STATE UNIVERSITY,,1988,323987,
3766,INVESTIGATION OF PROBLEM-SOLVING & MAN-MACHINE SYSTEMS,NHLBI,3355124,1R01HL038776-01,1,R01,HL,38776,1,,,6188958,"SMITH, JACK W.",Not Applicable,OHIO STATE UNIVERSITY,,1987,386351,
3767,COMPUTER-BASED PATHOLOGY CONSULTATION,NLM,3074620,5K04LM000083-05,5,K04,LM,83,5,,,6188958,"SMITH, JACK W.",Not Applicable,OHIO STATE UNIVERSITY,,1989,51844,
3768,COMPUTER-BASED PATHOLOGY CONSULTATION,NLM,3074619,5K04LM000083-04,5,K04,LM,83,4,,,6188958,"SMITH, JACK W.",Not Applicable,OHIO STATE UNIVERSITY,,1988,51587,
3769,2020,1317796,COMPUTER-BASED PATHOLOGY CONSULTATION,NLM,3074618,5K04LM000083-03,5,K04,LM,83,3,,,6188958,"SMITH, JACK W.",Not Applicable,OHIO STATE UNIVERSITY,,1987
3770,COMPUTER BASED PATHOLOGY CONSULTATION SUBMODULE,NLM,3373603,5R01LM004298-06,5,R01,LM,4298,6,,,6188958,"SMITH, JACK W.",Not Applicable,OHIO STATE UNIVERSITY,,1991,172335,
3771,COMPUTER BASED PATHOLOGY CONSULTATION SUBMODULE,NLM,3373602,5R01LM004298-05,5,R01,LM,4298,5,,,6188958,"SMITH, JACK W.",Not Applicable,OHIO STATE UNIVERSITY,,1990,170411,
3772,COMPUTER BASED PATHOLOGY CONSULTATION SUBMODULE,NLM,3373598,2R01LM004298-04A1,2,R01,LM,4298,4,A1,,6188958,"SMITH, JACK W.",Not Applicable,OHIO STATE UNIVERSITY,,1989,Lagrangian computational modeling for biomedical data science,NIGMS
3773,Vocal Pattern Detection of Late-Life Depression,NIA,9656239,1R15AG061755-01,1,R15,AG,61755,1,,,7374615,"SMITH, MARIANNE ",Not Applicable,UNIVERSITY OF IOWA,,2019,463500,
3774,NIGMS,9642618,1R01GM130825-01,1,R01,GM,130825,1,,,9045402,"ROHDE, GUSTAVO KUNDE",Not Applicable,UNIVERSITY OF VIRGINIA,,2019,375602,COMPUTER EDUCATION SYSTEM FOR YOUTH ON SUBSTANCE ABUSE,NIDA
3775,Genome analysis based on the integration of DNA sequence and shape,NIGMS,9203633,5R01GM106056-04,5,R01,GM,106056,4,,,10803025,"ROHS, REMO ",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA,,2017,309913,DEVELOPMENT OF AN ALL-CAUSE MORTALITY RISK PROFILE
3776,DEVELOPMENT OF AN ALL-CAUSE MORTALITY RISK PROFILE,NHLBI,8998963,5R01GM106056-03,3508727,5,R01,GM,106056,3,,2R44HL043447-02,,10803025,2,R44,HL,43447,2
3777,MACHINE LEARNING AND PARALLEL COMPUTER TECHNOLOGY,NLM,3759336,5P41LM005205-11,5,P41,LM,5205,11,,9006,3383096,"SMITH, RANDALL ",Not Applicable,BOSTON UNIVERSITY MEDICAL CAMPUS,,1994,,
3778,MACHINE LEARNING AND PARALLEL COMPUTER TECHNOLOGY,NLM,3781296,5P41LM005205-10,5,P41,LM,5205,10,,9006,3383096,"SMITH, RANDALL ",Not Applicable,BOSTON UNIVERSITY MEDICAL CAMPUS,,1993,,
3779,Genome analysis based on the integration of DNA sequence and shape,NIGMS,8632246,1R01GM106056-01A1,1,R01,GM,106056,1,A1,,10803025,"ROHS, REMO ",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA,,2014,334303,MACHINE LEARNING AND PARALLEL COMPUTER TECHNOLOGY
3780,Quantitative Modeling of Transcription Factor-DNA Binding,NIGMS,9626789,1R35GM130376-01,1,R35,GM,130376,1,,,10803025,"ROHS, REMO ",Not Applicable,UNIVERSITY OF SOUTHERN CALIFORNIA,,2019,MACHINE LEARNING AND PARALLEL COMPUTER TECHNOLOGY,NLM
3781,2209206,5R01HG000973-02,5,R01,HG,973,2,,,1908966,"SMITH, RANDALL F",Not Applicable,BAYLOR COLLEGE OF MEDICINE,,1995,219889,,,
3782,NEW ANALYTIC TOOLS FOR IDENTIFICATION OF GENE FUNCTION,NHGRI,2209204,1R01HG000973-01,1,R01,HG,973,1,,,1908966,"SMITH, RANDALL F",Not Applicable,BAYLOR COLLEGE OF MEDICINE,,1994,213013,
3783,Summer Institute in Neuroimaging and Data Science,NIMH,9650637,5R25MH112480-03,5,R25,MH,112480,3,,,9119432,"ROKEM, ARIEL SHALOM",Not Applicable,UNIVERSITY OF WASHINGTON,,2019,199118,Optimizing Genetic Testing for Deafness for Clinical Diagnostics
3784,Hybridized structure- and ligand- based drug discovery approaches targeting ASCT2; an amino acid transporter critical for upregulated cell proliferation in numerous cancer types,NCI,9835460,1F31CA243353-01,1,F31,CA,243353,1,,,15769050,"SMITH, SHANNON ",Not Applicable,VANDERBILT UNIVERSITY,,2019,37227,
3785,BIOMOLECULAR ENGINEERING RESEARCH CENTER,NLM,2627517,3P41LM005205-14S1,3,P41,LM,5205,14,S1,,1858886,"SMITH, TEMPLE F",Not Applicable,BOSTON UNIVERSITY,,1997,78678,
3786,205185,BIOMOLECULAR ENGINEERING RESEARCH CENTER,NLM,2415713,5P41LM005205-14,5,P41,LM,5205,14,,,1858886,"SMITH, TEMPLE F",Not Applicable,BOSTON UNIVERSITY,,1997,873506
3787,BIOMOLECULAR ENGINEERING RESEARCH CENTER,NLM,2237714,2P41LM005205-12,2,P41,LM,5205,12,,,1858886,"SMITH, TEMPLE F",Not Applicable,BOSTON UNIVERSITY MEDICAL CAMPUS,,1995,732251,
3788,MOLECULAR BIOLOGY COMPUTER RESEARCH RESOURCE,NLM,2237713,5P41LM005205-11,5,P41,LM,5205,11,,,1858886,"SMITH, TEMPLE F",Not Applicable,BOSTON UNIVERSITY MEDICAL CAMPUS,,1994,913090,
3789,Noninvasive assessment of the cornea by diffusion OCT,NEI,9942461,5R01EY028667-03,5,R01,EY,28667,3,,,1903389,"ROLLINS, ANDREW MARTIN ","DUPPS, WILLIAM JOSEPH",CASE WESTERN RESERVE UNIVERSITY,,2020,391938,MOLECULAR BIOLOGY COMPUTER RESEARCH RESOURCE
3790,MOLECULAR BIOLOGY COMPUTER RESEARCH RESOURCE,NLM,3103603,5P41LM005205-09,5,P41,LM,5205,9,,,1858886,"SMITH, TEMPLE F",Not Applicable,BOSTON UNIVERSITY MEDICAL CAMPUS,,1992,902510,
3791,MOLECULAR BIOLOGY COMPUTER RESEARCH RESOURCE,NLM,3103605,7P41LM005205-08,7,P41,LM,5205,8,,,1858886,"SMITH, TEMPLE F",Not Applicable,BOSTON UNIVERSITY MEDICAL CAMPUS,,1991,544039,
3792,Noninvasive assessment of the cornea by diffusion OCT,NEI,9427452,1R01EY028667-01,1,R01,EY,28667,1,,,1903389,"ROLLINS, ANDREW MARTIN ","DUPPS, WILLIAM JOSEPH",CASE WESTERN RESERVE UNIVERSITY,,2018,MOLECULAR BIOLOGY COMPUTER RESEARCH RESOURCE,NLM
3793,MOLECULAR BIOLOGY COMPUTER RESOURCE AND RESEARCH PROGRAM,NCRR,3565403,5P41RR002275-05,5,P41,RR,2275,5,,,3833746,"SMITH, TEMPLE F",Not Applicable,DANA-FARBER CANCER INSTITUTE,,1989,631940,
3794,Data-driven analysis of protein structure; function; and regulation,NIGMS,9744733,5R35GM119854-04,5,R35,GM,119854,4,,,11508981,"ROMERO, PHILIP ANTHONY",Not Applicable,UNIVERSITY OF WISCONSIN-MADISON,,2019,382500,MOLECULAR BIOLOGY COMPUTER RESOURCE AND RESEARCH PROGRAM
3795,MOLECULAR BIOLOGY COMPUTER RESOURCE AND RESEARCH PROGRAM,NCRR,3104094,5P41RR002275-03,5,P41,RR,2275,3,,,1858886,"SMITH, TEMPLE F",Not Applicable,DANA-FARBER CANCER INSTITUTE,,1987,502235,
3796,MOLECULAR BIOLOGY COMPUTER RESOURCE AND RESEARCH PROGRAM,NCRR,3104093,5P41RR002275-02,5,P41,RR,2275,2,,,1858886,"SMITH, TEMPLE F",Not Applicable,DANA-FARBER CANCER INSTITUTE,,1986,399508,
3797,MOLECULAR BIOLOGY COMPUTER RESOURCE AND RESEARCH PROGRAM,NCRR,3104092,1P41RR002275-01,1,P41,RR,2275,1,,,1858886,"SMITH, TEMPLE F",Not Applicable,DANA-FARBER CANCER INSTITUTE,,1985,524983,
3798,Data-driven analysis of protein structure; function; and regulation,NIGMS,9143006,1R35GM119854-01,1,R35,GM,119854,1,,,11508981,"ROMERO, PHILIP ANTHONY",Not Applicable,UNIVERSITY OF WISCONSIN-MADISON,,2016,359339,Second Generation DNA Sequence Management Tools
3799,Second Generation DNA Sequence Management Tools,NHGRI,NCI,5R44HG002244-03,9723557,,1R21CA237686-01,"SMITH, TODD M",Not Applicable,1,R21,CA,237686,1,,,10199382,"RONCALI, EMILIE ",Not Applicable
3800,Second Generation DNA Sequence Management Tools,NHGRI,6444292,2R44HG002244-02,2,R44,HG,2244,2,,,1951889,"SMITH, TODD M",Not Applicable,"GEOSPIZA, INC.",,2002,531259,
3801,142775,,,,,,,,,,,,,,,,,,
3802,,"198166""NEUROSCIENCE WORKSTATION; VOLUME IMAGING AND DATABASE""",NINDS,3509196,5R44NS025321-03,5,R44,NS,25321,3,,,3175616,"SMITH, WADE K",Not Applicable,"BIOGRAPHICS, INC.",,1990,165650
3803,Neuroimaging Core,NIDCD,9674426,5P50DC014664-04,5,P50,DC,14664,4,,5336,7172879,"RORDEN, CHRISTOPHER ",Not Applicable,UNIVERSITY OF SOUTH CAROLINA AT COLUMBIA,,2019,NEUROSCIENCE WORKSTATION; VOLUME IMAGING AND DATABASE,NINDS
3804,NEUROANATOMY WORKSTATION AND KNOWLEDGE ENGINEERING,NINDS,3504196,1R43NS025321-01,1,R43,NS,25321,1,,,3175616,"SMITH, WADE K",Not Applicable,"BIOGRAPHICS, INC.",,1987,50000,
3805,SIGNAL ACQUISITION AND ANALYSIS IN CARDIAC MAPPING,NHLBI,3345739,5R01HL033637-08,5,R01,HL,33637,8,,,1891196,"SMITH, WILLIAM M",Not Applicable,DUKE UNIVERSITY,,1992,162362,
3806,SIGNAL ACQUISITION AND ANALYSIS IN CARDIAC MAPPING,NHLBI,3345738,5R01HL033637-07,5,R01,HL,33637,7,,,1891196,"SMITH, WILLIAM M",Not Applicable,DUKE UNIVERSITY,,1991,154062,
3807,SIGNAL ACQUISITION AND ANALYSIS IN CARDIAC MAPPING,NHLBI,3345737,5R01HL033637-06,5,R01,HL,33637,6,,,1891196,"SMITH, WILLIAM M",Not Applicable,DUKE UNIVERSITY,,1990,148137,
3808,Neuroimaging Core,NIDCD,9083044,1P50DC014664-01A1,1,P50,DC,14664,1,A1,5336,7172879,"RORDEN, CHRISTOPHER ",Not Applicable,UNIVERSITY OF SOUTH CAROLINA AT COLUMBIA,,2016,,"327377""SIGNAL ACQUISITION AND ANALYSIS IN CARDIAC MAPPING"""
3809,151731,,,,,,,,,,,,,,,,,,
3810,SIGNAL ACQUISITION AND ANALYSIS IN CARDIAC MAPPING,NHLBI,3345735,5R01HL033637-03,5,R01,HL,33637,3,,,1891196,"SMITH, WILLIAM M",Not Applicable,DUKE UNIVERSITY,,1987,196541,
3811,Administrative Core,NINDS,8117045,5P01NS044232-09,5,P01,NS,44232,9,,5,1880335,"ROSBASH, MICHAEL ",Not Applicable,BRANDEIS UNIVERSITY,,2010,SIGNAL ACQUISITION AND ANALYSIS IN CARDIAC MAPPING,NHLBI
3812,SIGNAL ACQUISITION AND ANALYSIS IN CARDIAC MAPPING,NHLBI,3345729,1R01HL033637-01,1,R01,HL,33637,1,,,1891196,"SMITH, WILLIAM M",Not Applicable,DUKE UNIVERSITY,,1985,182009,
3813,Computer-Aided Interpretation of Oculometric Data,NEI,7287568,3R01EY014162-03S1,3,R01,EY,14162,3,S1,,6953341,"SMOLEK, MICHAEL K",Not Applicable,LOUISIANA STATE UNIV HSC NEW ORLEANS,,2006,38558,
3814,,"289568""Computer-Aided Interpretation of Oculometric Data""",NEI,6910621,5R01EY014162-03,5,R01,EY,14162,3,,,6953341,"SMOLEK, MICHAEL K",Not Applicable,LOUISIANA STATE UNIV HSC NEW ORLEANS,,2005,245768
3815,Computer-Aided Interpretation of Oculometric Data,NEI,6774688,5R01EY014162-02,5,R01,EY,14162,2,,,6953341,"SMOLEK, MICHAEL K",Not Applicable,LOUISIANA STATE UNIV HSC NEW ORLEANS,,2004,242058,
3816,Computer-Aided Interpretation of Oculometric Data,NEI,6617187,1R01EY014162-01A1,1,R01,EY,14162,1,A1,,6953341,"SMOLEK, MICHAEL K",Not Applicable,LOUISIANA STATE UNIV HSC NEW ORLEANS,,2003,241570,
3817,Patient Engagement Alcohol Risk Reduction System (PEARRS),NIAAA,9407982,1R41AA025297-01A1,1,R41,AA,25297,1,A1,,8728436,"ROSE, GAIL LYNNE",Not Applicable,"VERMEDX, INC.",,2017,150001,Development and validation of an electronic health record prediction tool for first-episode psychosis
3818,Improved multifactorial prediction of suicidal behavior through integration of multiple datasets,NIMH,9762979,5R01MH117599-02,5,R01,MH,117599,2,,,2084521,"SMOLLER, JORDAN W ","REIS, BEN Y",MASSACHUSETTS GENERAL HOSPITAL,,2019,513970,
3819,PsycheMERGE: Leveraging electronic health records and genomics for mental health research,NIMH,9641499,1R01MH118233-01,1,R01,MH,118233,1,,,2084521,"SMOLLER, JORDAN W ","DAVIS, LEA K",MASSACHUSETTS GENERAL HOSPITAL,,2019,855687,
3820,Developing Risk Algorithms of Internalizing Disorder Etiology and Course,NIMH,9544317,5K01MH106710-05,5,K01,MH,106710,5,,,12199551,"ROSELLINI, ANTHONY JOSEPH",Not Applicable,BOSTON UNIVERSITY (CHARLES RIVER CAMPUS),,2018,164330,Role of the gut microbiome in pesticide-induced effects on child neurodevelopment
3821,MODULAR EXPERT SYSTEM FOR HPLC METHOD DEVELOPMENT,NIGMS,2182938,5R44GM045095-03,5,R44,GM,45095,3,,,1881739,"SNYDER, LLOYD R",Not Applicable,"LC RESOURCES, INC.",,1993,254700,
3822,Developing Risk Algorithms of Internalizing Disorder Etiology and Course,NIMH,9376539,7K01MH106710-03,7,K01,MH,106710,3,,,12199551,"ROSELLINI, ANTHONY JOSEPH",Not Applicable,BOSTON UNIVERSITY (CHARLES RIVER CAMPUS),,2016,166902,MODULAR EXPERT SYSTEM FOR HPLC METHOD DEVELOPMENT
3823,Developing Risk Algorithms of Internalizing Disorder Etiology and Course,NIMH,9032882,1K01MH106710-01A1,1,K01,MH,106710,1,A1,,12199551,"ROSELLINI, ANTHONY JOSEPH",Not Applicable,HARVARD MEDICAL SCHOOL,,2015,166893,MODULAR EXPERT SYSTEM FOR HPLC METHOD DEVELOPMENT
3824,Using Causal Inference and Machine Learning Methods to Predict Cognitive Behavioral Treatment Response,NIMH,9912204,5R21MH119492-02,5,R21,MH,119492,2,,,12199551,"ROSELLINI, ANTHONY JOSEPH",Not Applicable,BOSTON UNIVERSITY (CHARLES RIVER CAMPUS),,2020,207977,KNOWLEDGE BASES FOR STRUCTURED CARDIOVASCULAR REPORTING
3825,Prosody and function words in early syntax acquisition,NICHD,6782636,5F32HD042927-03,5,F32,HD,42927,3,,,6772454,"SODERSTROM, MELANIE ",Not Applicable,BROWN UNIVERSITY,,2004,47296,
3826,Prosody and function words in early syntax acquisition,NICHD,6647078,5F32HD042927-02,5,F32,HD,42927,2,,,6772454,"SODERSTROM, MELANIE ",Not Applicable,BROWN UNIVERSITY,,2003,41608,
3827,474195,Prosody and function words in early syntax acquisition,NICHD,6551481,1F32HD042927-01,1,F32,HD,42927,1,,,6772454,"SODERSTROM, MELANIE ",Not Applicable,BROWN UNIVERSITY,,2002,36592
3828,Center for Advanced Imaging Innovation and Research (CAI2R),NIBIB,9804438,2P41EB017183-06,2,P41,EB,17183,6,,,8847359,"SODICKSON, DANIEL K",Not Applicable,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,,2019,1715698,
3829,2018 In Vivo Magnetic Resonance Gordon Research Conference & Gordon Research Seminar,NIBIB,9608839,1R13EB026933-01,1,R13,EB,26933,1,,,8847359,"SODICKSON, DANIEL K",Not Applicable,GORDON RESEARCH CONFERENCES,,2018,15000,
3830,MORPHOMETRY BIOMEDICAL INFORMATICS RESEARCH NETWORK,NCRR,7724584,5U24RR021382-05,5,U24,RR,21382,5,,6791,1885359,"ROSEN, BRUCE R",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL,,2008,,"2570412""Vector Quantization for Image Pattern Recognition"""
3831,Integrated Instrument for non-natural aptamer generation,NIGMS,9705993,5R01GM129313-02,5,R01,GM,129313,2,,,8141809,"SOH, HYONGSOK TOM",Not Applicable,STANFORD UNIVERSITY,,2019,314000,
3832,Predictive models of boundaries of topologically associated domains (TADs),NIGMS,9965292,1R15GM137254-01,1,R15,GM,137254,1,,,12490827,"SOIBAM, BENJAMIN ",Not Applicable,UNIVERSITY OF HOUSTON-DOWNTOWN,,2020,399888,
3833,Morphometry Biomedical Informatics Research Network,NCRR,7467385,5U24RR021382-05,5,U24,RR,21382,5,,,1885359,"ROSEN, BRUCE R",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL,,2008,5140823,Automated image-based biomarker computation tools for diabetic retinopathy
3834,MORPHOMETRY BIOMEDICAL INFORMATICS RESEARCH NETWORK,NCRR,7563755,5U24RR021382-04,5,U24,RR,21382,4,,7975,1885359,"ROSEN, BRUCE R",Not Applicable,MASSACHUSETTS GENERAL HOSP,,2007,MULTISPECTRAL FUNDUS IMAGING SYSTEM,NEI
3835,COMPUTER-ASSISTED CHEST RADIOGRAPH READER,NIOSH,6445973,5R44OH003595-03,5,R44,OH,3595,3,,,6441554,"SOLIZ, PETER N",Not Applicable,KESTREL CORPORATION,,2001,354009,
3836,COMPUTER-ASSISTED CHEST RADIOGRAPH READER,NIOSH,6210821,2R44OH003595-02,2,R44,OH,3595,2,,,6441554,"SOLIZ, PETER N",Not Applicable,KESTREL CORPORATION,,2000,395990,
3837,Morphometry Biomedical Informatics Research Network,NCRR,7253351,5U24RR021382-04,5,U24,RR,21382,4,,,1885359,"ROSEN, BRUCE R",Not Applicable,MASSACHUSETTS GENERAL HOSP,,2007,5123449,Improving Diagnosis of Multiple Sclerosis Through the Integration of Novel Imaging and Laboratory Biomarkers
3838,NEW STORAGE PHOSPHORIMAGING MEDIA FOR ORAL RADIOGRAPHY,NIDCR,3507257,2R44DE009906-02,2,R44,DE,9906,2,,,3605865,"SOLTANI, PETER ",Not Applicable,QUANTEX CORPORATION,,1993,355486,
3839,Automated Phenotyping in Epilepsy,NINDS,10024094,5R01NS114020-02,5,R01,NS,114020,2,,,1896710,"SOLTESZ, IVAN  ","DATTA, SANDEEP R",STANFORD UNIVERSITY,,2020,422740,
3840,MORPHOMETRY BIOMEDICAL INFORMATICS RESEARCH NETWORK,NCRR,7373396,5U24RR021382-03,5,U24,RR,21382,3,,7971,1885359,"ROSEN, BRUCE R",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL,,2006,Automated Phenotyping in Epilepsy,NINDS
3841,Building analysis tools and a theory framework for inferring principles of neural computation from multi-scale organization in brain recordings,NIBIB,9789876,5R01EB026955-02,5,R01,EB,26955,2,,,8860065,"SOMMER, FRIEDRICH T",Not Applicable,UNIVERSITY OF CALIFORNIA BERKELEY,,2019,350717,
3842,Morphometry Biomedical Informatics Research Network,NCRR,7078667,5U24RR021382-03,5,U24,RR,21382,3,,,1885359,"ROSEN, BRUCE R",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL,,2006,5010926,Predicting Transcriptional and Epigenetic Networks in Cancer from Sequencing Data
3843,Deep LOGISMOS,NIBIB,9831425,2R01EB004640-12A1,2,R01,EB,4640,12,A1,,1960246,"SONKA, MILAN  ","BUATTI, JOHN M.",UNIVERSITY OF IOWA,,2019,409911,
3844,KNOWLEDGE MANAGEMENT FOR CLINICAL DECISION ANALYSIS,NLM,2796869,5K04LM000096-05,5,K04,LM,96,5,,,1872109,"SONNENBERG, FRANK A",Not Applicable,UNIV OF MED/DENT NJ-R W JOHNSON MED SCH,,1998,72900,
3845,KNOWLEDGE MANAGEMENT FOR CLINICAL DECISION ANALYSIS,NLM,2546277,5K04LM000096-04,5,K04,LM,96,4,,,1872109,"SONNENBERG, FRANK A",Not Applicable,UNIV OF MED/DENT NJ-R W JOHNSON MED SCH,,1997,72630,
3846,KNOWLEDGE MANAGEMENT FOR CLINICAL DECISION ANALYSIS,NLM,2237610,5K04LM000096-02,5,K04,LM,96,2,,,1872109,"SONNENBERG, FRANK A",Not Applicable,UNIV OF MED/DENT NJ-R W JOHNSON MED SCH,,1995,72090,
3847,KNOWLEDGE MANAGEMENT FOR CLINICAL DECISION ANALYSIS,NLM,2237609,1K04LM000096-01A1,1,K04,LM,96,1,A1,,1872109,"SONNENBERG, FRANK A",Not Applicable,UNIV OF MED/DENT NJ-R W JOHNSON MED SCH,,1994,71820,
3848,Core F: Neuroimaging Core,NIA,9922241,5P30AG062422-02,5,P30,AG,62422,2,,5038,2095227,"ROSEN, HOWARD J",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",,2020,,"237653""INTELLIGENT DECISION SYSTEM FOR LUNG DISEASE IN AIDS"""
3849,INTELLIGENT DECISION SYSTEM FOR LUNG DISEASE IN AIDS,NLM,3474508,5R29LM005266-04,5,R29,LM,5266,4,,,1872109,"SONNENBERG, FRANK A",Not Applicable,UNIV OF MED/DENT NJ-R W JOHNSON MED SCH,,1993,106275,
3850,INTELLIGENT DECISION SYSTEM FOR LUNG DISEASE IN AIDS,NLM,3474507,5R29LM005266-03,5,R29,LM,5266,3,,,1872109,"SONNENBERG, FRANK A",Not Applicable,UNIV OF MED/DENT NJ-R W JOHNSON MED SCH,,1992,106839,
3851,INTELLIGENT DECISION SYSTEM FOR LUNG DISEASE IN AIDS,NLM,3474506,5R29LM005266-02,5,R29,LM,5266,2,,,1872109,"SONNENBERG, FRANK A",Not Applicable,UNIV OF MED/DENT NJ-R W JOHNSON MED SCH,,1991,102923,
3852,Investigating Sedentary Time In Aging: New Directions Using Technology (iSTAND),NHLBI,9323499,5K23HL119352-04,5,K23,HL,119352,4,,,8847481,"ROSENBERG, DORI E",Not Applicable,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,,2017,137691,INTELLIGENT DECISION SYSTEM FOR LUNG DISEASE IN AIDS
3853,5,R01,LM,6321,2,,,1872109,"SONNENBERG, FRANK A",Not Applicable,UNIV OF MED/DENT NJ-R W JOHNSON MED SCH,,1999,205403,,,,,
3854,142671,DECISION ANALYTIC SUPPORT FOR CLINICAL GUIDELINES,NLM,2460263,1R01LM006321-01A1,1,R01,LM,6321,1,A1,,1872109,"SONNENBERG, FRANK A",Not Applicable,UNIV OF MED/DENT NJ-R W JOHNSON MED SCH,,1998,237536
